a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,result
iori,haruka,marina,shun,mashiro_swimsuit,iroha,atsuko,haruka,iori,shun,iroha,hibiki,0
haruka,iori,marina,mutsuki_newyear,mashiro,iroha,tsukuyo,atsuko,marina,shun,iroha,nodoka_hotspring,0
haruka,iori,marina,shun,mashiro,iroha,tsukuyo,atsuko,marina,shun,iroha,nodoka_hotspring,0
iori,marina,haruka,shun,mashiro,iroha,hoshino,shun,marina,cherino,iroha,nodoka_hotspring,1
iroha,marina,haruka,shun,mashiro,iroha,atsuko,haruka,mutsuki_newyear,shun,hibiki,iroha,1
haruka,atsuko,marina,shun,hibiki,iroha,atsuko,haruka,mutsuki_newyear,shun,hibiki,iroha,0
marina,shun,atsuko,haruka,nodoka_hotspring,iroha,haruka,tsubaki,iori,shun,iroha,hibiki,1
haruka,tsubaki,marina,shun,nodoka_hotspring,iroha,shun,tsubaki,haruka,iori,nodoka_hotspring,iroha,0
haruka,tsubaki,marina,shun,nodoka_hotspring,iroha,hoshino,tsubaki,haruka,iori,nodoka_hotspring,iroha,0
tsubaki,haruka,shun,yuuka,iroha,nodoka_hotspring,haruka,tsubaki,marina,shun,nodoka_hotspring,iroha,1
shun,tsubaki,haruka,iori,serika_newyear,iroha,haruka,tsubaki,marina,shun,nodoka_hotspring,iroha,0
shun,tsubaki,haruka,iori,hibiki,iroha,haruka,tsubaki,marina,shun,nodoka_hotspring,iroha,1
marina,shun,atsuko,haruka,nodoka_hotspring,iroha,tsubaki,iori,shun,haruka,iroha,serika_newyear,1
yuuka,atsuko,shun,marina,nodoka_hotspring,iroha,haruka,atsuko,marina,shun,nodoka_hotspring,iroha,1
marina,shun,atsuko,haruka,nodoka_hotspring,iroha,haruka,atsuko,marina,shun,hibiki,iroha,0
shun,tsubaki,neru_bunny,mutsuki_newyear,iroha,serika_newyear,haruka,atsuko,marina,shun,nodoka_hotspring,iroha,1
mutsuki_newyear,haruna,marina,tsubaki,iroha,nodoka_hotspring,haruka,atsuko,marina,shun,nodoka_hotspring,iroha,1
shun,tsubaki,iori,haruka,iroha,nodoka_hotspring,haruka,atsuko,marina,shun,nodoka_hotspring,iroha,1
iori,shun,marina,atsuko,nodoka_hotspring,iroha,tsubaki,mutsuki_newyear,haruna,marina,nodoka_hotspring,iroha,1
marina,shun,atsuko,haruka,nodoka_hotspring,iroha,haruka,iori,shun,tsubaki,iroha,hibiki,0
hoshino,atsuko,shun,marina,nodoka_hotspring,iroha,haruka,iori,shun,tsubaki,iroha,hibiki,0
haruka,atsuko,shun,marina,nodoka_hotspring,iroha,haruka,iori,shun,tsubaki,iroha,hibiki,0
haruka,atsuko,marina,shun,nodoka_hotspring,iroha,haruka,iori,shun,tsubaki,iroha,hibiki,0
haruka,marina,shun,iori,hibiki,iroha,haruka,iori,shun,tsubaki,iroha,hibiki,0
haruka,marina,shun,iori,hibiki,iroha,haruka,iori,shun,tsubaki,iroha,hibiki,0
shun,haruka,marina,iori,hibiki,iroha,haruka,iori,shun,tsubaki,iroha,hibiki,1
haruka,atsuko,shun,marina,nodoka_hotspring,iroha,tsubaki,shun,iori,haruka,iroha,hibiki,0
iori,marina,atsuko,shun,nodoka_hotspring,iroha,tsubaki,shun,iori,haruka,iroha,hibiki,1
shun,tsubaki,neru_bunny,mutsuki_newyear,iroha,serika_newyear,haruka,atsuko,marina,shun,nodoka_hotspring,iroha,1
iori,marina,atsuko,shun,nodoka_hotspring,iroha,shun,tsubaki,neru_bunny,iori,iroha,serika_newyear,1
yuuka,atsuko,shun,haruka,iroha,nodoka_hotspring,marina,iori,atsuko,shun,iroha,serina,0
haruka,shun,tsubaki,iori,iroha,nodoka_hotspring,marina,iori,atsuko,shun,iroha,serina,1
shun,tsubaki,iori,haruka,iroha,hibiki,marina,iori,atsuko,shun,iroha,serina,0
shun,tsubaki,iori,haruka,iroha,hibiki,marina,iori,atsuko,shun,iroha,serina,0
shun,iori,marina,atsuko,iroha,nodoka_hotspring,haruka,atsuko,marina,shun,hibiki,iroha,0
shun,marina,iori,atsuko,iroha,nodoka_hotspring,haruka,atsuko,marina,shun,hibiki,iroha,0
hoshino,marina,atsuko,shun,iroha,nodoka_hotspring,haruka,atsuko,marina,shun,hibiki,iroha,1
shun,tsubaki,haruka,iori,mashiro_swimsuit,iroha,marina,iori,atsuko,shun,iroha,serina,0
shun,tsubaki,haruka,iori,mashiro_swimsuit,iroha,marina,iori,atsuko,shun,iroha,serina,0
shun,tsubaki,haruka,iori,mashiro_swimsuit,iroha,marina,iori,atsuko,shun,iroha,serina,0
shun,tsubaki,haruka,iori,mashiro_swimsuit,iroha,marina,iori,atsuko,shun,iroha,serina,1
yuuka,atsuko,marina,shun,nodoka_hotspring,iroha,marina,iori,atsuko,shun,iroha,serina,0
